IDTransacao,Data,IDCliente,Genero,Idade,CategoriaProduto,Quantidade,PrecoPorUnidade,ValorTotal,Mes,EhFimDeSemana,FaixaEtaria
1,2023-08-09,CLIENTE0493,Masculino,52,Vestuário,3,470.22,1419.04,8,0,MeiaIdade
2,2023-12-04,CLIENTE1073,Masculino,18,Vestuário,5,221.61,1111.65,12,0,Jovem
3,2023-08-14,CLIENTE1185,Feminino,37,Vestuário,1,415.6,410.8,8,0,Adulto
4,2023-03-14,CLIENTE0798,Masculino,34,Vestuário,1,230.3,223.58,3,0,Adulto
5,2023-04-03,CLIENTE1721,Masculino,40,Vestuário,2,311.1,613.46,4,0,Adulto
6,2023-05-23,CLIENTE0675,Feminino,70,Beleza,3,136.78,401.03,5,0,Senior
7,2023-01-12,CLIENTE0134,Masculino,19,Beleza,2,76.19,159.02,1,0,Jovem
8,2023-07-23,CLIENTE0199,Feminino,37,Beleza,1,69.21,61.92,7,1,Adulto
9,2023-10-02,CLIENTE1073,Masculino,50,Vestuário,2,241.12,476.37,10,0,MeiaIdade
10,2023-05-17,CLIENTE0457,Masculino,22,Vestuário,1,350.46,344.28,5,0,Jovem
11,2023-01-27,CLIENTE0172,Feminino,21,Vestuário,2,558.19,1122.36,1,0,Jovem
12,2023-11-13,CLIENTE0392,Masculino,21,Eletrônicos,5,334.04,1674.18,11,0,Jovem
13,2023-11-03,CLIENTE0014,Masculino,21,Beleza,1,132.44,136.54,11,0,Jovem
14,2023-08-02,CLIENTE0836,Feminino,52,Beleza,4,80.39,318.77,8,0,MeiaIdade
15,2023-05-06,CLIENTE1653,Feminino,45,Vestuário,3,52.72,158.77,5,1,Adulto
16,2023-09-08,CLIENTE1555,Masculino,46,Eletrônicos,1,347.75,349.95,9,0,MeiaIdade
17,2023-09-14,CLIENTE1312,Masculino,68,Eletrônicos,2,267.75,529.23,9,0,Senior
18,2023-04-04,CLIENTE1753,Feminino,19,Vestuário,1,411.94,415.25,4,0,Jovem
19,2023-03-19,CLIENTE0079,Feminino,30,Vestuário,1,450.47,445.73,3,1,Adulto
20,2023-01-01,CLIENTE0392,Masculino,57,Beleza,3,95.66,282.37,1,1,MeiaIdade
21,2023-10-07,CLIENTE1822,Masculino,69,Vestuário,1,202.82,208.89,10,1,Senior
22,2023-05-07,CLIENTE1000,Feminino,26,Vestuário,3,548.51,1646.7,5,1,Adulto
23,2023-07-22,CLIENTE1732,Masculino,69,Vestuário,4,479.35,1912.78,7,1,Senior
24,2023-04-10,CLIENTE1035,Masculino,70,Eletrônicos,3,183.88,553.41,4,0,Senior
25,2023-04-22,CLIENTE1569,Feminino,60,Vestuário,1,111.29,104.87,4,1,MeiaIdade
26,2023-06-15,CLIENTE0573,Feminino,35,Vestuário,4,493.41,1970.07,6,0,Adulto
27,2023-09-26,CLIENTE0274,Feminino,64,Vestuário,5,143.86,728.6,9,0,Senior
28,2023-09-24,CLIENTE0432,Masculino,50,Beleza,4,84.24,334.36,9,1,MeiaIdade
29,2023-06-07,CLIENTE0769,Feminino,64,Beleza,1,84.12,82.79,6,0,Senior
30,2023-02-04,CLIENTE1647,Masculino,24,Vestuário,1,200.47,197.29,2,1,Jovem
31,2023-02-10,CLIENTE1416,Masculino,42,Beleza,1,94.01,96.38,2,0,Adulto
32,2023-11-22,CLIENTE1228,Masculino,37,Beleza,2,141.7,281.11,11,0,Adulto
33,2023-03-25,CLIENTE1564,Feminino,35,Vestuário,3,560.49,1674.74,3,1,Adulto
34,2023-05-09,CLIENTE0861,Masculino,31,Eletrônicos,2,100.92,210.02,5,0,Adulto
35,2023-03-30,CLIENTE0772,Feminino,50,Eletrônicos,5,298.62,1501.61,3,0,MeiaIdade
36,2023-03-06,CLIENTE0141,Masculino,28,Eletrônicos,1,180.95,188.46,3,0,Adulto
37,2023-07-09,CLIENTE0729,Feminino,59,Eletrônicos,2,348.57,700.78,7,1,MeiaIdade
38,2023-01-13,CLIENTE0530,Feminino,25,Vestuário,4,259.55,1039.58,1,0,Jovem
39,2023-04-06,CLIENTE1311,Masculino,59,Vestuário,1,456.8,451.39,4,0,MeiaIdade
40,2023-06-04,CLIENTE0506,Masculino,27,Vestuário,1,261.56,267.01,6,1,Adulto
41,2023-01-27,CLIENTE0500,Feminino,57,Vestuário,1,536.71,531.73,1,0,MeiaIdade
42,2023-07-12,CLIENTE0522,Feminino,38,Beleza,2,133.01,271.65,7,0,Adulto
43,2023-04-05,CLIENTE1619,Feminino,57,Vestuário,3,572.25,1709.14,4,0,MeiaIdade
44,2023-11-07,CLIENTE1257,Masculino,18,Vestuário,1,345.38,345.79,11,0,Jovem
45,2023-10-06,CLIENTE1246,Feminino,43,Vestuário,1,194.35,202.09,10,0,Adulto
46,2023-12-12,CLIENTE0640,Masculino,64,Vestuário,3,482.23,1454.59,12,0,Senior
47,2023-09-06,CLIENTE0512,Masculino,24,Beleza,1,64.16,63.89,9,0,Jovem
48,2023-04-11,CLIENTE0307,Masculino,41,Beleza,2,141.57,292.1,4,0,Adulto
49,2023-12-08,CLIENTE0626,Masculino,29,Beleza,1,31.01,34.08,12,0,Adulto
50,2023-05-25,CLIENTE1307,Masculino,23,Vestuário,1,240.28,236.56,5,0,Jovem
51,2023-10-12,CLIENTE1546,Feminino,28,Eletrônicos,3,56.77,177.93,10,0,Adulto
52,2023-02-25,CLIENTE1959,Feminino,67,Beleza,5,39.93,208.98,2,1,Senior
53,2023-11-15,CLIENTE0226,Feminino,58,Beleza,1,115.58,120.83,11,0,MeiaIdade
54,2023-07-11,CLIENTE1580,Masculino,48,Eletrônicos,3,142.86,434.61,7,0,MeiaIdade
55,2023-06-12,CLIENTE0872,Feminino,37,Eletrônicos,1,36.77,38.47,6,0,Adulto
56,2023-08-24,CLIENTE0202,Masculino,65,Eletrônicos,2,315.61,630.73,8,0,Senior
